impl,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p99_ns,p999_ns,max_ns
btree,1,best_bid,1000000,9,7.8,9,9,9,8311
btree,1,top_n_8,1000000,9,7.8,9,9,9,8703
btree,1,top_n_full,1000000,9,7.8,9,9,9,22991
btree,2,best_bid,1000000,9,7.8,9,9,9,7171
btree,2,top_n_8,1000000,9,7.8,9,9,9,9215
btree,2,top_n_full,1000000,9,7.8,9,9,9,8439
btree,4,best_bid,1000000,9,7.8,9,9,9,8671
btree,4,top_n_8,1000000,9,7.9,9,9,9,8519
btree,4,top_n_full,1000000,9,7.7,9,9,9,5991
btree,8,best_bid,1000000,9,7.8,9,9,9,7579
btree,8,top_n_8,1000000,9,8.3,9,9,19,9391
btree,8,top_n_full,1000000,9,8.5,9,9,19,6751
btree,16,best_bid,1000000,9,7.8,9,9,9,10815
btree,16,top_n_8,1000000,9,8.8,9,9,19,7091
btree,16,top_n_full,1000000,9,21.5,19,29,29,8839
btree,32,best_bid,1000000,9,7.8,9,9,9,2999
btree,32,top_n_8,1000000,9,8.9,9,19,19,2209
btree,32,top_n_full,1000000,9,44.4,49,49,49,18223
btree,64,best_bid,1000000,9,7.8,9,9,9,8019
btree,64,top_n_8,1000000,9,8.8,9,9,9,4951
btree,64,top_n_full,1000000,9,88.5,89,89,99,6611
btree,128,best_bid,1000000,9,7.8,9,9,9,2889
btree,128,top_n_8,1000000,9,8.9,9,19,19,4639
btree,128,top_n_full,1000000,9,177.9,179,179,189,10495
btree,256,best_bid,1000000,9,7.8,9,9,9,9839
btree,256,top_n_8,1000000,9,8.8,9,19,19,2179
btree,256,top_n_full,1000000,9,363.4,359,369,449,12303
btree,512,best_bid,1000000,9,7.8,9,9,9,3209
btree,512,top_n_8,1000000,9,9.2,9,19,19,8319
btree,512,top_n_full,1000000,9,645.3,639,739,1319,178431
btree,1024,best_bid,1000000,9,7.8,9,9,9,14583
btree,1024,top_n_8,1000000,9,9.6,9,19,19,5051
btree,1024,top_n_full,1000000,9,1353.2,1339,1489,3159,185727
btree,2048,best_bid,1000000,9,7.8,9,9,9,16927
btree,2048,top_n_8,1000000,9,9.6,9,19,19,3989
btree,2048,top_n_full,1000000,9,2660.2,2649,2969,4939,187519
sorted,1,best_bid,1000000,9,7.8,9,9,9,3049
sorted,1,top_n_8,1000000,9,7.8,9,9,9,2379
sorted,1,top_n_full,1000000,9,7.8,9,9,9,3019
sorted,2,best_bid,1000000,9,7.8,9,9,9,5799
sorted,2,top_n_8,1000000,9,7.8,9,9,9,4199
sorted,2,top_n_full,1000000,9,7.8,9,9,9,4251
sorted,4,best_bid,1000000,9,7.8,9,9,9,9023
sorted,4,top_n_8,1000000,9,7.8,9,9,9,2149
sorted,4,top_n_full,1000000,9,7.8,9,9,9,3839
sorted,8,best_bid,1000000,9,7.8,9,9,9,9575
sorted,8,top_n_8,1000000,9,7.8,9,9,9,1869
sorted,8,top_n_full,1000000,9,7.8,9,9,9,4811
sorted,16,best_bid,1000000,9,7.8,9,9,9,2739
sorted,16,top_n_8,1000000,9,7.8,9,9,9,3629
sorted,16,top_n_full,1000000,9,7.8,9,9,9,3889
sorted,32,best_bid,1000000,9,7.8,9,9,9,9495
sorted,32,top_n_8,1000000,9,7.8,9,9,9,4671
sorted,32,top_n_full,1000000,9,7.8,9,9,9,9143
sorted,64,best_bid,1000000,9,7.8,9,9,9,9095
sorted,64,top_n_8,1000000,9,7.8,9,9,9,8255
sorted,64,top_n_full,1000000,9,7.8,9,9,9,2429
sorted,128,best_bid,1000000,9,7.8,9,9,9,3609
sorted,128,top_n_8,1000000,9,7.8,9,9,9,1949
sorted,128,top_n_full,1000000,9,15.3,19,19,19,4911
sorted,256,best_bid,1000000,9,7.8,9,9,9,4951
sorted,256,top_n_8,1000000,9,7.8,9,9,9,1959
sorted,256,top_n_full,1000000,9,31.8,29,39,39,4699
sorted,512,best_bid,1000000,9,7.8,9,9,9,12719
sorted,512,top_n_8,1000000,9,7.8,9,9,9,8351
sorted,512,top_n_full,1000000,9,62.7,59,69,69,5099
sorted,1024,best_bid,1000000,9,7.8,9,9,9,9151
sorted,1024,top_n_8,1000000,9,7.8,9,9,9,3159
sorted,1024,top_n_full,1000000,9,145.9,149,159,169,178943
sorted,2048,best_bid,1000000,9,7.8,9,9,9,3749
sorted,2048,top_n_8,1000000,9,7.8,9,9,9,4959
sorted,2048,top_n_full,1000000,9,534.0,529,559,699,22911
