impl,locality,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
btree,concentrated,1,update,1000000,7,11.9,11,16,19,21,1965
btree,concentrated,1,insert,1000000,7,15.4,16,23,26,28,2725
btree,concentrated,1,remove,1000000,7,13.9,13,14,31,35,9479
btree,concentrated,1,trade_baseline,1000000,7,10.0,10,12,12,12,3007
btree,concentrated,2,update,1000000,7,12.5,14,18,19,21,7487
btree,concentrated,2,insert,1000000,7,12.9,11,21,25,27,4863
btree,concentrated,2,remove,1000000,7,14.7,14,15,33,36,10775
btree,concentrated,2,trade_baseline,1000000,7,7.9,7,11,13,14,3561
btree,concentrated,4,update,1000000,7,13.1,16,19,21,28,4155
btree,concentrated,4,insert,1000000,7,15.8,12,24,26,30,110079
btree,concentrated,4,remove,1000000,7,15.2,14,16,32,37,11271
btree,concentrated,4,trade_baseline,1000000,7,7.0,6,9,11,13,1562
btree,concentrated,8,update,1000000,7,14.4,16,21,23,28,9855
btree,concentrated,8,insert,1000000,7,17.0,14,26,28,34,5931
btree,concentrated,8,remove,1000000,7,18.3,16,21,34,40,105727
btree,concentrated,8,trade_baseline,1000000,7,7.1,7,9,11,13,27567
btree,concentrated,16,update,1000000,7,14.4,13,20,22,23,4655
btree,concentrated,16,insert,1000000,7,18.1,20,26,28,36,7747
btree,concentrated,16,remove,1000000,7,17.3,16,21,35,40,9583
btree,concentrated,16,trade_baseline,1000000,7,7.1,7,9,12,13,3319
btree,concentrated,32,update,1000000,7,15.2,17,21,24,33,4899
btree,concentrated,32,insert,1000000,7,18.7,21,26,30,39,11119
btree,concentrated,32,remove,1000000,7,17.9,17,22,39,42,12639
btree,concentrated,32,trade_baseline,1000000,7,7.0,6,9,11,13,1582
btree,concentrated,64,update,1000000,7,16.5,17,23,25,30,9783
btree,concentrated,64,insert,1000000,7,19.8,21,28,32,39,2257
btree,concentrated,64,remove,1000000,7,19.7,21,26,41,43,4219
btree,concentrated,64,trade_baseline,1000000,7,7.0,6,9,12,13,7175
btree,concentrated,128,update,1000000,7,17.8,19,24,27,33,9839
btree,concentrated,128,insert,1000000,7,22.0,22,30,38,47,137343
btree,concentrated,128,remove,1000000,7,20.6,21,26,43,49,120575
btree,concentrated,128,trade_baseline,1000000,7,7.1,7,9,12,13,2109
btree,concentrated,256,update,1000000,7,26.7,27,36,46,57,13583
btree,concentrated,256,insert,1000000,7,22.2,22,31,36,47,11511
btree,concentrated,256,remove,1000000,7,21.8,23,28,44,54,13607
btree,concentrated,256,trade_baseline,1000000,7,14.2,14,15,16,16,28031
btree,concentrated,512,update,1000000,7,27.3,29,37,43,52,6235
btree,concentrated,512,insert,1000000,7,23.2,23,32,40,53,13215
btree,concentrated,512,remove,1000000,7,23.5,27,31,47,62,117823
btree,concentrated,512,trade_baseline,1000000,7,14.0,14,15,15,16,1195
btree,concentrated,1024,update,1000000,7,28.8,30,39,45,55,11383
btree,concentrated,1024,insert,1000000,7,24.5,24,35,40,49,11711
btree,concentrated,1024,remove,1000000,7,24.0,27,31,47,50,113087
btree,concentrated,1024,trade_baseline,1000000,7,14.1,14,15,15,16,1566
btree,concentrated,2048,update,1000000,7,29.3,31,41,45,53,11551
btree,concentrated,2048,insert,1000000,7,25.4,25,38,42,52,11735
btree,concentrated,2048,remove,1000000,7,25.1,29,32,49,63,119679
btree,concentrated,2048,trade_baseline,1000000,7,14.1,14,15,16,16,2557
sorted,concentrated,1,update,1000000,7,10.0,10,11,12,14,3285
sorted,concentrated,1,insert,1000000,7,12.1,13,18,20,27,11575
sorted,concentrated,1,remove,1000000,7,9.8,9,13,15,17,11511
sorted,concentrated,1,trade_baseline,1000000,7,9.4,9,11,11,12,5443
sorted,concentrated,2,update,1000000,7,7.6,7,9,12,16,9823
sorted,concentrated,2,insert,1000000,7,12.4,10,21,25,31,16847
sorted,concentrated,2,remove,1000000,7,14.4,14,20,23,37,7371
sorted,concentrated,2,trade_baseline,1000000,7,7.8,7,10,11,13,3649
sorted,concentrated,4,update,1000000,7,7.9,8,9,11,17,11583
sorted,concentrated,4,insert,1000000,7,15.2,11,24,26,32,11719
sorted,concentrated,4,remove,1000000,7,13.4,14,18,28,35,11191
sorted,concentrated,4,trade_baseline,1000000,7,7.2,7,10,11,12,2769
sorted,concentrated,8,update,1000000,7,7.7,8,9,11,24,5347
sorted,concentrated,8,insert,1000000,7,17.6,15,26,31,38,7151
sorted,concentrated,8,remove,1000000,7,14.0,15,18,31,35,11431
sorted,concentrated,8,trade_baseline,1000000,7,7.2,7,10,11,12,1189
