impl,corpus,schedule,target_rate_eps,achieved_rate_eps,samples,clock_overhead_ns,resp_p50_ns,resp_p99_ns,resp_p999_ns,resp_max_ns,saturated
btree,btcusdt-sample,real,304,305,13765,7,6615,95551,103359,104063,false
sorted,btcusdt-sample,real,304,305,13765,7,7967,169471,175359,175999,false
rev,btcusdt-sample,real,304,305,13765,7,15703,620031,696319,704511,false
flat,btcusdt-sample,real,304,305,13765,7,4179,351999,8781823,28262399,false
btree,steady,fixed,100000,100001,100000,7,90,209,10663,109439,false
btree,steady,fixed,1000000,1000009,100000,7,76,152,4935,31183,false
btree,steady,fixed,2000000,2000017,100000,7,68,140,65919,109631,false
btree,steady,fixed,5000000,5000036,100000,7,56,113,4163,9935,false
btree,steady,fixed,10000000,10000039,100000,7,50,97,1186,2681,false
btree,steady,fixed,20000000,20000076,100000,7,50,121,1896,2389,false
btree,steady,fixed,50000000,26391798,100000,7,940543,1772543,1787903,1789951,true
btree,steady,fixed,100000000,26949238,100000,7,1361919,2684927,2709503,2711551,true
btree,steady,fixed,200000000,27464854,100000,7,1572863,3110911,3139583,3141631,true
sorted,steady,fixed,100000,100001,100000,7,73,162,74175,142207,false
sorted,steady,fixed,1000000,1000009,100000,7,61,136,71103,126783,false
sorted,steady,fixed,2000000,2000018,100000,7,56,124,91007,136575,false
sorted,steady,fixed,5000000,5000041,100000,7,46,4295,101311,116863,false
sorted,steady,fixed,10000000,10000051,100000,7,41,85,1045,2929,false
sorted,steady,fixed,20000000,20000144,100000,7,40,83,1322,1748,false
sorted,steady,fixed,50000000,30534911,100000,7,635903,1261567,1273855,1275903,true
sorted,steady,fixed,100000000,31113567,100000,7,1096703,2193407,2211839,2215935,true
sorted,steady,fixed,200000000,31248994,100000,7,1353727,2674687,2699263,2701311,true
rev,steady,fixed,100000,100001,100000,7,78,353,9463,143103,false
rev,steady,fixed,1000000,1000009,100000,7,64,153,56511,136831,false
rev,steady,fixed,2000000,2000016,100000,7,58,139,3827,17631,false
rev,steady,fixed,5000000,5000040,100000,7,50,1591,8407,12903,false
rev,steady,fixed,10000000,10000043,100000,7,44,95,1212,2401,false
